state,legyear,unionmem,unemploylag1,firmslag
ME,2015,64,6,3166
ME,2016,65,4.9,3226
ME,2017,65,3.8,3226
MI,2000,914,3.9,3077
MI,2001,947,3.3,3123
MI,2002,911,4.4,3088
MI,2003,919,6.4,3025
MI,2004,930,6.6,2999
MI,2005,880,6.9,2972
MI,2006,842,7.1,2984
MI,2007,819,6.8,3038
MI,2008,771,7,3065
MI,2009,710,7.3,3081
MI,2010,627,11.2,3019
MI,2011,671,13.7,2985
MI,2012,629,10.9,3070
MI,2013,633,9.2,3065
MI,2014,585,9,3143
MI,2015,621,7.9,3195
MI,2016,606,6,3262
MI,2017,606,5,3262
MN,2000,430,2.5,2431
MN,2001,430,3,2492
MN,2002,440,3.4,2487
MN,2003,414,4.5,2440
MN,2004,424,4.5,2414
MN,2005,392,4.9,2425
MN,2006,395,4.2,2454
MN,2007,400,4.1,2495
MN,2008,392,4.4,2539
MN,2009,362,4.7,2559
MN,2010,385,7.1,2534
MN,2011,371,7.7,2528
MN,2012,351,6.9,2586
MN,2013,362,5.7,2624
MN,2014,360,5.2,2670
MN,2015,363,4.6,2747
MN,2016,365,3.8,2785
MN,2017,365,3.9,2785
MO,2000,341,3.3,1543
MO,2001,346,3.1,1581
MO,2002,332,4.4,1583
MO,2003,336,5.3,1520
MO,2004,315,5.4,1515
MO,2005,290,5.5,1506
MO,2006,284,5.9,1525
MO,2007,275,4.9,1574
MO,2008,285,4.9,1571
MO,2009,234,5.4,1614
MO,2010,244,8.2,1619
MO,2011,275,9.8,1619
MO,2012,224,9.1,1659
MO,2013,219,7.3,1668
MO,2014,214,6.7,1703
MO,2015,230,6.5,1725
MO,2016,262,5.5,1781
MO,2017,262,4.5,1781
MS,2000,69,5,2788
MS,2001,61,5.4,2819
MS,2002,70,5,2796
MS,2003,55,6.7,2706
MS,2004,53,6.6,2701
MS,2005,77,5.6,2685
MS,2006,60,6.7,2708
MS,2007,72,7.9,2770
MS,2008,57,6.3,2795
MS,2009,49,6,2859
MS,2010,46,8.3,2814
MS,2011,54,10.8,2794
MS,2012,48,10,2843
MS,2013,38,9.2,2840
MS,2014,38,8.9,2899
MS,2015,60,7.9,2955
MS,2016,73,6.6,3020
MS,2017,73,6.1,3020
MT,2000,50,5.5,625
MT,2001,48,5,635
MT,2002,51,4.7,640
MT,2003,50,4.5,641
MT,2004,43,4.5,653
MT,2005,42,4.9,662
MT,2006,48,4.6,681
MT,2007,54,3.8,707
MT,2008,47,2.9,751
MT,2009,52,4.3,781
MT,2010,46,6.6,788
MT,2011,49,7.3,795
MT,2012,54,7.3,810
MT,2013,52,6.3,811
MT,2014,52,5.6,833
MT,2015,52,5,847
MT,2016,50,4.2,876
MT,2017,50,4.2,876
NC,2000,142,3.1,1311
NC,2001,139,3.3,1312
NC,2002,116,4.4,1319
NC,2003,111,6.8,1310
NC,2004,97,6.4,1282
NC,2005,107,5.9,1277
NC,2006,126,5.4,1305
NC,2007,114,4.7,1361
NC,2008,132,4.7,1386
NC,2009,115,5.1,1417
NC,2010,117,9.8,1405
NC,2011,105,11.3,1409
NC,2012,112,10.3,1434
NC,2013,117,9.5,1448
NC,2014,76,8.8,1476
NC,2015,123,6.7,1514
NC,2016,129,5.7,1553
NC,2017,129,5.3,1553
ND,2000,18,3.4,1701
ND,2001,21,3.1,1760
ND,2002,24,2.8,1793
ND,2003,21,3.5,1831
ND,2004,22,3.8,1892
ND,2005,21,3.5,1936
ND,2006,20,3.4,1966
ND,2007,19,3.2,2088
ND,2008,19,3.2,2140
ND,2009,21,3,2184
ND,2010,23,3.9,2115
ND,2011,20,4,2076
ND,2012,20,3.5,2092
ND,2013,22,3.2,2084
ND,2014,18,3.1,2126
ND,2015,19,2.7,2160
ND,2016,20,2.7,2205
ND,2017,20,3.2,2205
NE,2000,66,2.7,1069
NE,2001,63,2.8,1082
NE,2002,64,2.9,1105
NE,2003,64,3.6,1070
NE,2004,69,3.8,1059
NE,2005,69,3.9,1055
NE,2006,66,4,1101
NE,2007,65,3.4,1125
NE,2008,70,3,1136
NE,2009,76,3,1188
NE,2010,75,4.1,1187
NE,2011,65,4.8,1207
NE,2012,52,4.5,1222
NE,2013,63,4.1,1239
NE,2014,64,3.9,1283
NE,2015,68,3.5,1302
NE,2016,64,2.9,1335
NE,2017,64,3.2,1335
NH,2000,60,2.8,3177
NH,2001,62,2.7,3229
NH,2002,60,2.7,3257
NH,2003,56,4.3,3194
NH,2004,61,4.4,3150
NH,2005,65,4.1,3114
NH,2006,63,3.6,3120
NH,2007,61,3.4,3144
NH,2008,67,3.6,3222
NH,2009,67,3.5,3218
NH,2010,63,5.3,3201
NH,2011,68,6.3,3187
NH,2012,65,5.4,3214
NH,2013,60,5.4,3206
NH,2014,62,5.4,3276
NH,2015,62,4.7,3334
NH,2016,63,3.8,3352
NH,2017,63,2.8,3352
NJ,2000,775,4.4,1391
NJ,2001,740,3.8,1385
NJ,2002,757,3.7,1393
NJ,2003,737,5.5,1374
NJ,2004,745,5.9,1363
NJ,2005,791,5.3,1385
NJ,2006,770,4.4,1389
NJ,2007,748,4.9,1441
NJ,2008,703,4.2,1480
NJ,2009,721,4.6,1519
NJ,2010,637,7.5,1540
NJ,2011,615,9.8,1528
NJ,2012,611,9.4,1553
NJ,2013,611,9.2,1529
NJ,2014,635,9,1544
NJ,2015,596,7.1,1556
NJ,2016,644,6.5,1591
NJ,2017,644,5,1591
NM,2000,58,5.9,4241
NM,2001,57,5.1,4266
NM,2002,49,4.9,4259
NM,2003,57,5.3,4088
NM,2004,49,5.7,4096
NM,2005,63,5.8,4114
NM,2006,62,5.4,4139
NM,2007,62,4.3,4218
NM,2008,58,3.8,4289
NM,2009,51,4,4332
NM,2010,55,6.4,4195
NM,2011,49,8.1,4210
NM,2012,50,7.6,4286
NM,2013,46,7.5,4336
NM,2014,43,6.9,4440
NM,2015,49,6.9,4548
NM,2016,49,6.4,4629
NM,2017,49,6.5,4629
NV,2000,163,3.7,3320
NV,2001,155,3.9,3332
NV,2002,148,4.6,3331
NV,2003,136,6.1,3244
NV,2004,126,5.3,3269
NV,2005,145,4.6,3241
NV,2006,167,4.1,3310
NV,2007,182,3.9,3406
NV,2008,199,4.1,3457
NV,2009,173,5.2,3464
NV,2010,151,9.6,3412
NV,2011,154,13.1,3401
NV,2012,162,13.5,3474
NV,2013,169,12,3471
NV,2014,169,10.3,3549
NV,2015,177,8.6,3634
NV,2016,146,7.2,3660
NV,2017,146,6.2,3660
NY,2000,1958,5.3,561
NY,2001,2005,4.7,570
NY,2002,1981,4.2,578
NY,2003,1936,6.1,586
NY,2004,1996,6.3,579
NY,2005,2090,6.4,599
NY,2006,1981,5.1,608
NY,2007,2055,4.8,627
NY,2008,2029,4.3,675
NY,2009,2019,4.9,707
NY,2010,1959,7.2,708
NY,2011,1906,8.8,721
NY,2012,1841,8.3,766
NY,2013,1986,8.6,809
NY,2014,1980,8,829
NY,2015,2038,6.9,872
NY,2016,1942,5.7,910
NY,2017,1942,4.9,910
OH,2000,877,4.2,3783
OH,2001,901,4.1,3801
OH,2002,859,3.8,3797
OH,2003,850,5.6,3680
OH,2004,759,6.1,3674
OH,2005,804,6.1,3655
OH,2006,734,6.3,3663
OH,2007,730,5.5,3733
OH,2008,716,5.5,3790
OH,2009,685,5.6,3817
OH,2010,655,8.9,3697
OH,2011,647,11,3698
OH,2012,604,9.2,3790
OH,2013,605,7.7,3808
OH,2014,615,7.5,3875
OH,2015,606,6.5,3986
OH,2016,617,5.1,4091
OH,2017,617,5,4091
OK,2000,96,4,1825
OK,2001,119,3.2,1865
OK,2002,128,3,1840
OK,2003,96,4.6,1798
OK,2004,86,5.2,1801
OK,2005,77,5.2,1795
OK,2006,93,4.7,1837
OK,2007,103,4.1,1890
OK,2008,102,4.2,1941
OK,2009,83,3.5,1997
OK,2010,77,5.1,1987
OK,2011,94,7.1,2017
OK,2012,115,6.2,2059
OK,2013,114,5.4,2075
OK,2014,89,5.3,2135
OK,2015,88,5,2189
OK,2016,80,4.1,2247
OK,2017,80,4.7,2247
OR,2000,232,5.8,2020
OR,2001,225,5,2036
OR,2002,226,5.3,2048
OR,2003,230,8,1980
OR,2004,224,7.8,1962
OR,2005,213,7.7,1970
OR,2006,211,6.5,1972
OR,2007,227,5.5,2023
OR,2008,259,5.1,2062
OR,2009,250,5.3,2096
OR,2010,245,10.3,2072
OR,2011,270,10.9,2079
OR,2012,240,9.8,2106
OR,2013,208,9.1,2120
OR,2014,243,8.5,2155
OR,2015,235,7.3,2232
OR,2016,228,5.9,2246
OR,2017,228,5,2246
PA,2000,885,4.5,3867
PA,2001,910,4.1,3913
PA,2002,851,4.3,3929
PA,2003,794,5.6,3824
PA,2004,793,5.8,3825
PA,2005,753,5.5,3815
PA,2006,745,5.2,3831
PA,2007,830,4.6,3861
PA,2008,847,4.3,3943
PA,2009,782,4.8,3983
PA,2010,770,7.2,3955
PA,2011,779,8.6,3938
PA,2012,734,7.9,3998
PA,2013,701,7.7,4046
PA,2014,703,7.7,4095
PA,2015,747,6.4,4140
PA,2016,685,5.4,4210
PA,2017,685,5.3,4210
RI,2000,84,4.3,874
RI,2001,77,4,902
RI,2002,81,4.1,911
RI,2003,84,4.8,885
RI,2004,79,5.3,887
RI,2005,79,5.3,898
RI,2006,76,5,920
RI,2007,75,5.1,928
RI,2008,78,4.8,959
RI,2009,80,6.3,994
RI,2010,75,10.2,1008
RI,2011,79,11.1,1019
RI,2012,81,11,1035
RI,2013,77,11.2,1010
RI,2014,68,9.4,1035
RI,2015,68,8.8,1053
RI,2016,74,6.5,1095
RI,2017,74,5.4,1095
SC,2000,73,4.1,2218
SC,2001,82,4,2218
SC,2002,80,4.2,2207
SC,2003,71,5.9,2135
SC,2004,54,6.5,2123
SC,2005,40,6.9,2145
SC,2006,59,6.8,2194
SC,2007,78,6.6,2247
SC,2008,70,6,2312
SC,2009,75,5.7,2364
SC,2010,80,10,2326
SC,2011,59,11.7,2353
SC,2012,58,10.7,2387
SC,2013,69,9.7,2379
SC,2014,41,8.4,2414
SC,2015,41,6.2,2462
SC,2016,32,6.5,2544
SC,2017,32,5.5,2544
SD,2000,19,2.8,659
SD,2001,20,2.4,661
SD,2002,19,2.7,666
SD,2003,19,3.4,665
SD,2004,21,3.3,647
SD,2005,21,3.6,651
SD,2006,21,3.9,676
SD,2007,23,3.2,692
SD,2008,18,3,715
SD,2009,20,2.6,740
SD,2010,20,4.3,741
SD,2011,18,5.2,750
SD,2012,20,5,781
SD,2013,17,4.3,790
SD,2014,18,3.9,826
SD,2015,22,3.6,848
SD,2016,20,3.3,867
SD,2017,20,2.7,867
TN,2000,220,4.2,2944
TN,2001,193,3.7,2981
TN,2002,223,3.9,2979
TN,2003,179,5.8,2864
TN,2004,164,5.2,2847
TN,2005,128,5.3,2852
TN,2006,153,5.8,2911
TN,2007,138,5.3,2952
TN,2008,139,4.5,3037
TN,2009,121,5.6,3059
TN,2010,115,9.3,2992
TN,2011,115,10.4,2976
TN,2012,124,9.4,3016
TN,2013,155,8,3048
TN,2014,127,7.9,3105
TN,2015,146,6.7,3158
TN,2016,158,6.1,3248
TN,2017,158,4.8,3248
TX,2000,538,4.6,4961
TX,2001,520,4.6,5026
TX,2002,452,4.1,5067
TX,2003,508,6.1,4941
TX,2004,457,6.7,4894
TX,2005,506,6.2,4859
TX,2006,476,5.7,4942
TX,2007,463,5.2,5105
TX,2008,449,4.4,5339
TX,2009,508,4.3,5402
TX,2010,545,6.1,5296
TX,2011,534,8.3,5263
TX,2012,599,8,5384
TX,2013,518,7.1,5523
TX,2014,543,6.4,5593
TX,2015,503,5.6,5723
TX,2016,462,4.4,5886
TX,2017,462,4.5,5886
UT,2000,72,3.6,1622
UT,2001,70,3.1,1655
UT,2002,61,3.8,1702
UT,2003,53,5.4,1687
UT,2004,58,5.9,1661
UT,2005,51,5.4,1688
UT,2006,61,4.4,1704
UT,2007,67,3.5,1772
UT,2008,68,2.4,1823
UT,2009,79,3,1859
UT,2010,75,6.3,1863
UT,2011,67,8,1856
UT,2012,61,7.4,1903
UT,2013,49,5.9,1925
UT,2014,46,4.9,1952
UT,2015,50,4,2013
UT,2016,62,3.5,2056
UT,2017,62,3.6,2056
VA,2000,186,2.7,582
VA,2001,179,2.6,594
VA,2002,194,2.3,615
VA,2003,210,4.2,612
VA,2004,176,4.2,615
VA,2005,165,4,612
VA,2006,139,3.7,627
VA,2007,129,3.2,621
VA,2008,146,3,648
VA,2009,166,3.5,666
VA,2010,161,5.7,675
VA,2011,163,7.4,688
VA,2012,159,6.6,702
VA,2013,180,6.2,684
VA,2014,179,5.7,722
VA,2015,202,5.4,735
VA,2016,160,4.8,755
VA,2017,160,4,755
VT,2000,28,3.1,3070
VT,2001,31,2.7,3149
VT,2002,28,3,3150
VT,2003,27,3.8,3080
VT,2004,29,4.4,3095
VT,2005,31,4,3100
VT,2006,34,3.5,3104
VT,2007,30,3.5,3207
VT,2008,29,3.9,3261
VT,2009,35,4.3,3303
VT,2010,34,6.1,3262
VT,2011,35,6.3,3280
VT,2012,31,5.8,3310
VT,2013,31,5.1,3309
VT,2014,32,4.6,3377
VT,2015,36,4.1,3435
VT,2016,33,3.8,3468
VT,2017,33,3.3,3468
WA,2000,462,4.8,2595
WA,2001,446,4.9,2630
WA,2002,472,5.6,2642
WA,2003,502,7.4,2564
WA,2004,510,7.4,2548
WA,2005,523,6.9,2518
WA,2006,549,5.8,2575
WA,2007,579,5.1,2656
WA,2008,578,4.8,2737
WA,2009,574,4.8,2813
WA,2010,552,7.2,2758
WA,2011,517,10.4,2748
WA,2012,513,9.6,2783
WA,2013,546,8.6,2805
WA,2014,491,7.3,2866
WA,2015,500,6.4,2942
WA,2016,539,5.7,2992
WA,2017,539,5.6,2992
WI,2000,456,3.4,1137
WI,2001,417,3.2,1140
WI,2002,397,3.9,1131
WI,2003,414,5.4,1072
WI,2004,414,5.6,1082
WI,2005,410,5.3,1089
WI,2006,386,4.7,1099
WI,2007,376,4.7,1148
WI,2008,396,4.9,1154
WI,2009,385,4.6,1176
WI,2010,355,7.2,1165
WI,2011,339,9.2,1182
WI,2012,293,8,1210
WI,2013,317,7.1,1227
WI,2014,306,6.9,1251
WI,2015,223,6,1273
WI,2016,219,4.8,1280
WI,2017,219,4.3,1280
WV,2000,100,6.5,2360
WV,2001,101,5.8,2391
WV,2002,92,5.3,2388
WV,2003,88,5.5,2339
WV,2004,99,6.1,2318
WV,2005,99,5.6,2317
WV,2006,101,5.2,2338
WV,2007,97,4.7,2376
WV,2008,101,4.7,2408
WV,2009,97,4.6,2445
WV,2010,100,5.9,2411
WV,2011,93,8.5,2428
WV,2012,84,8.6,2482
WV,2013,87,7.3,2494
WV,2014,73,7.2,2524
WV,2015,83,6.8,2579
WV,2016,79,6.6,2648
WV,2017,79,6.3,2648
WY,2000,19,4.8,546
WY,2001,20,4.1,543
WY,2002,17,3.8,552
WY,2003,18,3.9,560
WY,2004,18,4.4,550
WY,2005,18,4,563
WY,2006,19,3.6,579
WY,2007,19,3.4,605
WY,2008,19,2.9,625
WY,2009,18,2.8,643
WY,2010,18,4.4,675
WY,2011,18,7.2,676
WY,2012,17,6.1,714
WY,2013,15,5.5,722
WY,2014,17,5.1,749
WY,2015,19,4.4,775
WY,2016,16,3.9,789
WY,2017,16,5.1,789
