state,datayeardef,legyear,deficitlag1
LA,2003,2004,-351971.4257
LA,2004,2005,-672744.281
LA,2005,2006,-1440508.839
LA,2006,2007,-1601319.233
LA,2007,2008,-3884675.179
LA,2008,2009,-1376972.443
LA,2009,2010,-54648.95937
LA,2010,2011,1574123.875
LA,2011,2012,218241.6043
LA,2012,2013,766696.8896
LA,2013,2014,880572.5528
LA,2014,2015,1028243.029
LA,2015,2016,1565076.761
LA,2016,2017,-51694
ME,2002,2003,-12171.33385
ME,2003,2004,-67461.26485
ME,2004,2005,-361728.6527
ME,2005,2006,-191103.6905
ME,2006,2007,-339213.8528
ME,2007,2008,-400411.6231
ME,2008,2009,35354.53554
ME,2009,2010,508.0411301
ME,2010,2011,-200961.8671
ME,2011,2012,-315138.6549
ME,2012,2013,-88302.35917
ME,2013,2014,-331859.4252
ME,2014,2015,27885.11892
ME,2015,2016,-495008.1301
ME,2016,2017,-335817
MD,2002,2003,533878.724
MD,2003,2004,1234760.173
MD,2004,2005,-347120.9813
MD,2005,2006,-2169598.718
MD,2006,2007,-1947159.431
MD,2007,2008,16024.98106
MD,2008,2009,1256185.544
MD,2009,2010,3185733.183
MD,2010,2011,2149660.822
MD,2011,2012,1316116.636
MD,2012,2013,1046796.306
MD,2013,2014,63243.87278
MD,2014,2015,748474.5528
MD,2015,2016,-536657.2381
MD,2016,2017,-783715
MA,2002,2003,4904667.598
MA,2003,2004,2373775.834
MA,2004,2005,-2256945.249
MA,2005,2006,5622132.395
MA,2006,2007,-2176196.643
MA,2007,2008,-1579923.486
MA,2008,2009,-784453.1025
MA,2009,2010,3906182.299
MA,2010,2011,11421561.37
MA,2011,2012,-147803.3756
MA,2012,2013,961645.2955
MA,2013,2014,1185298.431
MA,2014,2015,2362331.697
MA,2015,2016,2198216.12
MA,2016,2017,3342624
MI,2002,2003,3371203.997
MI,2003,2004,2489339.3
MI,2004,2005,1298029.883
MI,2005,2006,-72580.49705
MI,2006,2007,330148.0168
MI,2007,2008,173167.0899
MI,2008,2009,462157.1378
MI,2009,2010,4166947.778
MI,2010,2011,1103372.803
MI,2011,2012,-1684535.296
MI,2012,2013,-4552813.685
MI,2013,2014,-2656356.247
MI,2014,2015,-646637.2549
MI,2015,2016,-1384647.255
MI,2016,2017,-1593095
MN,2002,2003,732141.7605
MN,2003,2004,2064765.602
MN,2004,2005,-153225.5218
MN,2005,2006,-1284828.142
MN,2006,2007,-2670072.6
MN,2007,2008,-1705434.572
MN,2008,2009,-479932.6282
MN,2009,2010,1552825.486
MN,2010,2011,1076052.768
MN,2011,2012,-1216940.809
MN,2012,2013,-1148121.275
MN,2013,2014,-2470231.389
MN,2014,2015,-2126916.51
MN,2015,2016,-1990680.514
MN,2016,2017,-1726284
MS,2002,2003,-279034.0518
MS,2003,2004,-352667.684
MS,2004,2005,83584.03579
MS,2005,2006,-393704.562
MS,2006,2007,-1104982.633
MS,2007,2008,-1609494.155
MS,2008,2009,-561093.7101
MS,2009,2010,241912.2515
MS,2010,2011,-406501.6565
MS,2011,2012,-995975.0271
MS,2012,2013,-618025.447
MS,2013,2014,-511746.1835
MS,2014,2015,-533540.6671
MS,2015,2016,-408168.3474
MS,2016,2017,-966232
MO,2002,2003,845525.1377
MO,2003,2004,-282093.8104
MO,2004,2005,713059.1538
MO,2005,2006,91255.543
MO,2006,2007,-1048379.619
MO,2007,2008,-656354.6081
MO,2008,2009,-691547.9612
MO,2009,2010,959315.3487
MO,2010,2011,80569.88908
MO,2011,2012,-983021.7007
MO,2012,2013,-297359.8279
MO,2013,2014,-1160730.571
MO,2014,2015,-606717.8613
MO,2015,2016,-1272926.371
MO,2016,2017,-656732
MT,2002,2003,-478112.0043
MT,2003,2004,-443751.6319
MT,2004,2005,-592640.8818
MT,2005,2006,-815276.3429
MT,2006,2007,-736762.8056
MT,2007,2008,-828767.3793
MT,2008,2009,-468845.2573
MT,2009,2010,-296776.237
MT,2010,2011,-568341.4968
MT,2011,2012,-562452.1784
MT,2012,2013,-443981.1995
MT,2013,2014,-802436.8572
MT,2014,2015,-426603.0072
MT,2015,2016,-444890.4545
MT,2016,2017,-272837
NE,2002,2003,110573.0961
NE,2003,2004,200106.182
NE,2004,2005,-560199.949
NE,2005,2006,-725127.882
NE,2006,2007,-667978.7862
NE,2007,2008,-788498.8912
NE,2008,2009,-379344.7931
NE,2009,2010,183919.8021
NE,2010,2011,-60056.74711
NE,2011,2012,-507293.5042
NE,2012,2013,-322731.5739
NE,2013,2014,-593342.7429
NE,2014,2015,-566705.3058
NE,2015,2016,-303929.6183
NE,2016,2017,27747
NV,2002,2003,138048.3429
NV,2003,2004,66546.62293
NV,2004,2005,-440486.8059
NV,2005,2006,-651095.0967
NV,2006,2007,-687770.8634
NV,2007,2008,-286895.2359
NV,2008,2009,235283.0589
NV,2009,2010,1163677.122
NV,2010,2011,580549.6561
NV,2011,2012,-54149.23999
NV,2012,2013,-380406.7624
NV,2013,2014,-677497.6945
NV,2014,2015,-506272.8743
NV,2015,2016,-597031.9875
NV,2016,2017,-1530510
NH,2002,2003,-45969.38546
NH,2003,2004,240490.449
NH,2004,2005,-134113.2765
NH,2005,2006,-270292.7652
NH,2006,2007,-221563.6261
NH,2007,2008,-274382.0149
NH,2008,2009,113502.7083
NH,2009,2010,386731.8267
NH,2010,2011,10854.26556
NH,2011,2012,223446.2295
NH,2012,2013,-181593.2949
NH,2013,2014,-268542.6044
NH,2014,2015,-24920.31591
NH,2015,2016,-62815.46316
NH,2016,2017,-550977
NJ,2002,2003,2485493.805
NJ,2003,2004,3175169.158
NJ,2004,2005,3889836.371
NJ,2005,2006,3930262.622
NJ,2006,2007,801295.3415
NJ,2007,2008,203402.7953
NJ,2008,2009,5720935.226
NJ,2009,2010,10004510.82
NJ,2010,2011,8288141.506
NJ,2011,2012,5647438.959
NJ,2012,2013,6822310.01
NJ,2013,2014,4494537.617
NJ,2014,2015,3743473.304
NJ,2015,2016,5438740.537
NJ,2016,2017,7136500
NM,2002,2003,1263295.363
NM,2003,2004,555637.2604
NM,2004,2005,-210388.4757
NM,2005,2006,-369655.2016
NM,2006,2007,-508923.0123
NM,2007,2008,-1075692.878
NM,2008,2009,595851.052
NM,2009,2010,2739190.655
