,state,statenum,legyear,percent5,Rperc,marginshift,rmarginshift,minwage,standmin,marginshift.10,rmarginshift.10,tax,standtax,standtaxlag1,indtax,taxdrop,labor,gverif,policy,landuse,occ,ocourts2,Frtp,frps,frent,findex,knpindex,kpacs,nlabel,nprice,nunfair,banstate,bancorp,bancorpunion,deepsouth,postcit
1029,NH,40,1982,NA,NA,NA,NA,3.35,0.963768116,0.039990613,0.039990613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0
1030,NH,40,1983,NA,NA,NA,NA,3.35,0.963768116,0.039990613,0.039990613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0
1031,NH,40,1984,NA,NA,NA,NA,3.35,0.963768116,0.039990613,0.039990613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0
1032,NH,40,1985,NA,NA,NA,NA,3.35,0.963768116,0.039990613,0.039990613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0
1033,NH,40,1986,NA,NA,NA,NA,3.35,0.963768116,0.039990613,0.039990613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0
1034,NH,40,1987,NA,NA,NA,NA,3.45,0.949275362,0.039990613,0.039990613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0
1035,NH,40,1988,NA,NA,NA,NA,3.55,0.934782609,0.039990613,0.039990613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0
1036,NH,40,1989,NA,NA,NA,NA,3.65,0.920289855,0.039990613,0.039990613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0
1037,NH,40,1990,19.375,74.75,0.228622477,-0.228622477,3.8,0.898550725,0.039990613,0.039990613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0
1038,NH,40,1991,19.83333333,37.75,0.052995277,0.026692817,4.25,0.833333333,0.039990613,0.039990613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0
