state,legyear,house,sen,dwnom,dwnomfull
DE,2006,-0.024,-0.25,-0.137,-0.137
DE,2007,-0.147,-0.318,-0.2325,-0.2325
DE,2008,-0.147,-0.318,-0.2325,-0.2325
DE,2009,-0.64,-0.438,-0.539,-0.539
DE,2010,-0.64,-0.454,-0.547,-0.547
DE,2011,-0.742,-0.423,-0.5825,-0.5825
DE,2012,-0.742,-0.423,-0.5825,-0.5825
DE,2013,-0.778,-0.473,-0.6255,-0.6255
DE,2014,-0.778,-0.473,-0.6255,-0.6255
DE,2015,-0.778,-0.473,-0.6255,-0.6255
DE,2016,-0.778,-0.473,-0.6255,-0.6255
DE,2017,-0.778,-0.473,-0.6255,-0.6255
FL,1993,,,,0.1305
FL,1994,,,,0.1305
FL,1995,,,,0.1305
FL,1996,0.041,0.22,0.1305,0.1305
FL,1997,0.141,0.246,0.1935,0.1935
FL,1998,0.177,0.282,0.2295,0.2295
FL,1999,0.259,0.185,0.222,0.222
FL,2000,0.267,0.185,0.226,0.226
FL,2001,0.385,0.22,0.3025,0.3025
FL,2002,0.385,0.181,0.283,0.283
FL,2003,0.348,0.256,0.302,0.302
FL,2004,0.388,0.256,0.322,0.322
FL,2005,0.428,0.256,0.342,0.342
FL,2006,0.43,0.256,0.343,0.343
FL,2007,0.417,0.264,0.3405,0.3405
FL,2008,0.407,0.277,0.342,0.342
FL,2009,,,,0.342
FL,2010,0.475,,0.475,0.475
FL,2011,0.603,0.293,0.448,0.448
FL,2012,0.603,0.293,0.448,0.448
FL,2013,0.616,0.335,0.4755,0.4755
FL,2014,0.616,0.335,0.4755,0.4755
FL,2015,0.616,0.335,0.4755,0.4755
FL,2016,0.616,0.335,0.4755,0.4755
FL,2017,0.616,0.335,0.4755,0.4755
GA,1993,,,,-0.1835
GA,1994,,,,-0.1835
GA,1995,,,,-0.1835
GA,1996,-0.123,-0.244,-0.1835,-0.1835
GA,1997,-0.075,-0.339,-0.207,-0.207
GA,1998,-0.075,-0.339,-0.207,-0.207
GA,1999,-0.082,-0.294,-0.188,-0.188
GA,2000,-0.082,-0.294,-0.188,-0.188
GA,2001,-0.082,-0.229,-0.1555,-0.1555
GA,2002,-0.082,-0.229,-0.1555,-0.1555
GA,2003,-0.098,0.492,0.197,0.197
GA,2004,-0.098,0.492,0.197,0.197
GA,2005,0.616,0.653,0.6345,0.6345
GA,2006,0.616,0.653,0.6345,0.6345
GA,2007,0.698,0.672,0.685,0.685
GA,2008,0.698,0.672,0.685,0.685
GA,2009,0.7,0.652,0.676,0.676
GA,2010,0.7,0.652,0.676,0.676
GA,2011,0.837,0.786,0.8115,0.8115
GA,2012,0.838,0.787,0.8125,0.8125
GA,2013,0.853,0.841,0.847,0.847
GA,2014,0.856,0.841,0.8485,0.8485
GA,2015,0.856,0.841,0.8485,0.8485
GA,2016,0.856,0.841,0.8485,0.8485
GA,2017,0.856,0.841,0.8485,0.8485
HI,1993,,,,-0.736
HI,1994,,,,-0.736
HI,1995,,,,-0.736
HI,1996,-0.745,-0.727,-0.736,-0.736
HI,1997,-0.712,-0.64,-0.676,-0.676
HI,1998,-0.712,-0.64,-0.676,-0.676
HI,1999,-0.713,-0.727,-0.72,-0.72
HI,2000,-0.717,-0.727,-0.722,-0.722
HI,2001,-0.681,-0.753,-0.717,-0.717
HI,2002,-0.681,-0.753,-0.717,-0.717
HI,2003,-0.707,-0.727,-0.717,-0.717
HI,2004,-0.707,-0.727,-0.717,-0.717
HI,2005,-0.726,-0.727,-0.7265,-0.7265
HI,2006,-0.724,-0.727,-0.7255,-0.7255
HI,2007,-0.724,-0.727,-0.7255,-0.7255
HI,2008,-0.725,-0.732,-0.7285,-0.7285
HI,2009,,,,-0.7285
HI,2010,,,,-0.7285
HI,2011,-0.72,-0.727,-0.7235,-0.7235
HI,2012,-0.719,-0.727,-0.723,-0.723
HI,2013,-0.723,-0.728,-0.7255,-0.7255
HI,2014,,-0.728,-0.728,-0.728
HI,2015,,-0.728,-0.728,-0.728
HI,2016,,-0.728,-0.728,-0.728
HI,2017,,-0.728,-0.728,-0.728
IA,1993,,,,-0.0225
IA,1994,,,,-0.0225
IA,1995,,,,-0.0225
IA,1996,0.42,-0.465,-0.0225,-0.0225
IA,1997,0.325,0.268,0.2965,0.2965
IA,1998,0.325,0.268,0.2965,0.2965
IA,1999,0.378,0.297,0.3375,0.3375
